participant,group,speaker,image1,image2,image3,target,response,correct
C09-LV,LV,S06F,book,road,bike,book,book,1
C09-LV,LV,S0M,road,clock,paws,road,road,1
C09-LV,LV,S07,food,cut,leg,food,food,1
C09-LV,LV,S07,coat,ball,foot,coat,coat,1
C09-LV,LV,S07,cut,bike,leg,cut,cut,1
C09-LV,LV,S06F,piers,teeth,gate,piers,piers,1
C09-LV,LV,S0M,cake,foot,tears,foot,foot,1
C09-LV,LV,S08M,foot,cat,hat,cat,cat,1
C09-LV,LV,S0M,suit,cut,hat,hat,hat,1
C09-LV,LV,S07,bees,ring,leg,bees,bees,1
C09-LV,LV,S07,ten,suit,shirt,suit,suit,1
C09-LV,LV,S0M,teeth,gate,bees,gate,gate,1
C09-LV,LV,S07,lid,toys,paws,lid,lid,1
C09-LV,LV,S08M,house,pears,bees,pears,pears,1
C010-LV,LV,S0M,park,bears,lid,bears,bears,1
C010-LV,LV,S07,clock,pears,park,pears,pears,1
C010-LV,LV,S0M,tears,park,clock,tears,tears,1
C010-LV,LV,S07,coat,kite,cat,kite,kite,1
C010-LV,LV,S0M,cup,teeth,cat,teeth,teeth,1
C010-LV,LV,S08M,pears,paws,piers,piers,pears,0
C010-LV,LV,S0M,bees,lid,ten,lid,lid,1
C010-LV,LV,S08M,bees,shark,cut,cut,cut,1
C010-LV,LV,S06F,shirt,paws,pears,paws,paws,1
C010-LV,LV,S08M,tears,mouse,ten,ten,ten,1
C010-LV,LV,S0M,cake,kite,toys,toys,toys,1
C010-LV,LV,S0M,shirt,boys,gate,shirt,shirt,1
C010-LV,LV,S07,teeth,cake,skirt,cake,cake,1
C010-LV,LV,S0M,ten,bike,cut,cut,cut,1
C010-LV,LV,S06F,pears,food,kite,pears,pears,1
C010-LV,LV,S07,cake,tears,cup,cup,cup,1
C010-LV,LV,S06F,cake,shark,road,shark,shark,1
C010-LV,LV,S06F,bees,bike,bears,bees,bears,0
C010-LV,LV,S0M,bees,teeth,pears,bees,pears,0
C010-LV,LV,S06F,bike,foot,shark,foot,foot,1
C010-LV,LV,S0M,suit,ring,cot,suit,suit,1
C010-LV,LV,S07,road,tears,hat,road,road,1
C010-LV,LV,S07,bike,boys,bears,bears,bears,1
C010-LV,LV,S0M,leg,foot,clock,leg,leg,1
C010-LV,LV,S0M,teeth,boys,food,boys,boys,1
C010-LV,LV,S0M,bears,cat,bees,cat,cat,1
C010-LV,LV,S08M,paws,cut,clock,paws,paws,1
C010-LV,LV,S06F,cake,mouse,bears,bears,bears,1
C010-LV,LV,S08M,bears,pears,mouse,bears,bears,1
C010-LV,LV,S08M,food,lid,bike,bike,bike,1
C010-LV,LV,S06F,lid,leg,piers,lid,lid,1
C010-LV,LV,S08M,foot,toys,pears,foot,foot,1
C010-LV,LV,S0M,shirt,bike,skirt,bike,bike,1
C010-LV,LV,S07,cat,food,lid,lid,lid,1
C010-LV,LV,S06F,piers,suit,cup,cup,cup,1
C010-LV,LV,S06F,teeth,pears,ball,ball,ball,1
C010-LV,LV,S0M,skirt,food,gate,skirt,skirt,1
C010-LV,LV,S06F,shirt,coat,house,coat,coat,1
C010-LV,LV,S07,piers,cat,paws,paws,paws,1
C010-LV,LV,S06F,bike,book,cut,bike,bike,1
C010-LV,LV,S06F,cut,toys,cot,toys,toys,1
C010-LV,LV,S06F,road,cot,suit,road,road,1
C010-LV,LV,S08M,tears,road,cut,tears,tears,1
C010-LV,LV,S0M,pears,shark,book,book,book,1
C010-LV,LV,S06F,clock,leg,ten,clock,clock,1
C010-LV,LV,S07,lid,suit,shirt,shirt,suit,0
C010-LV,LV,S08M,hat,shirt,clock,hat,hat,1
C010-LV,LV,S0M,food,mouse,book,food,food,1
C010-LV,LV,S0M,boys,ball,park,ball,ball,1
C010-LV,LV,S08M,cup,cot,gate,gate,gate,1
C010-LV,LV,S0M,gate,cake,ball,gate,gate,1
C010-LV,LV,S07,teeth,hat,cake,teeth,teeth,1
C010-LV,LV,S08M,cat,shark,cut,shark,shark,1
C010-LV,LV,S0M,piers,ten,coat,piers,piers,1
C010-LV,LV,S06F,cake,leg,park,cake,cake,1
C010-LV,LV,S0M,shark,hat,leg,shark,shark,1
C010-LV,LV,S08M,pears,house,road,pears,pears,1
C010-LV,LV,S06F,bears,piers,cake,piers,bears,0
C010-LV,LV,S07,bees,bike,shark,bike,bike,1
C010-LV,LV,S08M,bees,skirt,suit,suit,skirt,0
C010-LV,LV,S07,park,ring,suit,suit,suit,1
C010-LV,LV,S08M,mouse,road,cake,road,road,1
C010-LV,LV,S0M,lid,clock,foot,clock,clock,1
C010-LV,LV,S0M,mouse,cat,cup,cup,cup,1
C010-LV,LV,S06F,teeth,cake,foot,teeth,teeth,1
C010-LV,LV,S07,ring,mouse,gate,gate,gate,1
C010-LV,LV,S08M,cot,kite,clock,clock,clock,1
C010-LV,LV,S06F,cut,leg,piers,cut,cut,1
C010-LV,LV,S08M,pears,boys,bees,boys,boys,1
C010-LV,LV,S08M,park,teeth,mouse,park,park,1
C010-LV,LV,S06F,piers,gate,cut,gate,gate,1
C010-LV,LV,S06F,book,toys,ten,ten,ten,1
C010-LV,LV,S08M,house,cake,clock,cake,cake,1
C010-LV,LV,S06F,boys,toys,tears,tears,tears,1
C010-LV,LV,S08M,park,teeth,ring,ring,ring,1
C010-LV,LV,S0M,house,bees,bears,house,house,1
C010-LV,LV,S07,teeth,pears,piers,piers,pears,0
C010-LV,LV,S07,pears,ball,mouse,mouse,mouse,1
C010-LV,LV,S07,toys,cot,teeth,cot,cot,1
C010-LV,LV,S07,book,bears,lid,book,book,1
C010-LV,LV,S07,tears,book,cot,tears,tears,1
C010-LV,LV,S0M,ball,coat,pears,coat,coat,1
C010-LV,LV,S07,ten,piers,suit,ten,ten,1
C010-LV,LV,S06F,mouse,house,book,house,house,1
C010-LV,LV,S08M,cup,park,foot,cup,cup,1
C010-LV,LV,S08M,bees,ball,cut,bees,bees,1
C010-LV,LV,S07,house,tears,cut,cut,cut,1
C010-LV,LV,S0M,foot,road,cake,foot,foot,1
C010-LV,LV,S06F,ring,lid,suit,suit,suit,1
C010-LV,LV,S06F,cot,house,kite,cot,cot,1
C010-LV,LV,S08M,mouse,clock,shirt,shirt,shirt,1
C010-LV,LV,S0M,ball,cot,book,cot,cot,1
C010-LV,LV,S07,cot,road,bees,bees,bees,1
C010-LV,LV,S07,coat,ring,ball,ring,ring,1
C010-LV,LV,S08M,tears,food,cup,food,food,1
C010-LV,LV,S08M,skirt,ball,ring,ball,ball,1
C010-LV,LV,S06F,suit,mouse,cut,mouse,mouse,1
C010-LV,LV,S07,ten,foot,house,foot,foot,1
C010-LV,LV,S07,ball,coat,book,ball,ball,1
C010-LV,LV,S0M,piers,shark,paws,paws,paws,1
C010-LV,LV,S08M,teeth,book,shirt,teeth,teeth,1
C010-LV,LV,S0M,mouse,shirt,road,mouse,mouse,1
C010-LV,LV,S08M,lid,gate,park,lid,lid,1
C010-LV,LV,S08M,mouse,skirt,cot,skirt,skirt,1
C010-LV,LV,S06F,cup,boys,leg,leg,leg,1
C010-LV,LV,S07,ten,toys,book,toys,toys,1
C010-LV,LV,S08M,skirt,shirt,coat,coat,coat,1
C010-LV,LV,S08M,bees,shirt,house,house,house,1
C010-LV,LV,S06F,boys,cat,hat,boys,boys,1
C010-LV,LV,S0M,lid,hat,ball,hat,hat,1
C010-LV,LV,S0M,leg,park,piers,park,park,1
C010-LV,LV,S0M,cot,tears,cake,cake,cake,1
C010-LV,LV,S06F,coat,ring,gate,ring,ring,1
C010-LV,LV,S07,park,kite,house,park,park,1
C010-LV,LV,S06F,mouse,tears,park,park,park,1
C010-LV,LV,S07,suit,cat,pears,cat,cat,1
C010-LV,LV,S06F,ten,park,food,food,food,1
C010-LV,LV,S0M,road,piers,cut,road,road,1
C010-LV,LV,S07,house,boys,road,boys,boys,1
C010-LV,LV,S07,pears,cake,hat,hat,hat,1
C010-LV,LV,S0M,pears,cut,book,pears,pears,1
C010-LV,LV,S06F,shark,ball,skirt,skirt,skirt,1
C010-LV,LV,S0M,bike,ring,foot,ring,ring,1
C010-LV,LV,S08M,toys,gate,cat,toys,toys,1
C010-LV,LV,S08M,food,kite,ten,kite,kite,1
C010-LV,LV,S07,kite,coat,skirt,coat,coat,1
C010-LV,LV,S06F,shirt,paws,tears,shirt,shirt,1
C010-LV,LV,S07,coat,skirt,shirt,skirt,skirt,1
C010-LV,LV,S07,gate,leg,hat,leg,leg,1
C010-LV,LV,S0M,lid,ten,ring,ten,ten,1
C010-LV,LV,S08M,book,ball,tears,book,book,1
C010-LV,LV,S06F,cut,gate,kite,kite,kite,1
C010-LV,LV,S07,shark,cake,book,shark,shark,1
C010-LV,LV,S0M,kite,cut,book,kite,kite,1
C010-LV,LV,S07,food,piers,teeth,food,food,1
C010-LV,LV,S08M,boys,cat,gate,cat,cat,1
C010-LV,LV,S06F,shark,bees,cat,cat,cat,1
C010-LV,LV,S08M,mouse,cat,bears,mouse,mouse,1
C010-LV,LV,S07,house,piers,food,house,house,1
C010-LV,LV,S06F,skirt,toys,hat,hat,hat,1
C010-LV,LV,S06F,cot,book,teeth,book,book,1
C010-LV,LV,S08M,book,leg,road,leg,leg,1
C010-LV,LV,S07,clock,tears,teeth,clock,clock,1
C010-LV,LV,S08M,skirt,boys,cot,cot,cot,1
C011-LV,LV,S08M,pears,ball,leg,leg,pears,0
C011-LV,LV,S07,road,bees,ten,road,road,1
C011-LV,LV,S07,tears,ring,boys,ring,ring,1
C011-LV,LV,S0M,park,teeth,cake,teeth,teeth,1
C011-LV,LV,S08M,mouse,road,cake,mouse,mouse,1
C011-LV,LV,S0M,bike,mouse,food,bike,bike,1
C011-LV,LV,S06F,bike,kite,skirt,bike,bike,1
C011-LV,LV,S07,coat,shirt,bike,bike,bike,1
C011-LV,LV,S06F,skirt,clock,cake,cake,cake,1
C011-LV,LV,S06F,ring,coat,leg,coat,coat,1
C011-LV,LV,S08M,cake,mouse,bees,bees,bees,1
C011-LV,LV,S08M,house,bees,piers,house,piers,0
C011-LV,LV,S08M,cat,pears,tears,cat,cat,1
C011-LV,LV,S07,cot,kite,park,cot,cot,1
C011-LV,LV,S06F,bees,piers,ring,ring,ring,1
C011-LV,LV,S0M,boys,pears,paws,paws,paws,1
C011-LV,LV,S0M,paws,suit,shark,shark,shark,1
C011-LV,LV,S07,paws,shark,cut,paws,paws,1
C011-LV,LV,S07,toys,leg,shirt,toys,toys,1
C011-LV,LV,S0M,mouse,hat,clock,clock,clock,1
C011-LV,LV,S08M,skirt,gate,cup,gate,gate,1
C011-LV,LV,S08M,suit,ring,park,suit,suit,1
C011-LV,LV,S06F,bears,shirt,paws,bears,bears,1
C011-LV,LV,S08M,paws,cake,pears,cake,cake,1
C011-LV,LV,S07,shark,piers,food,food,food,1
C011-LV,LV,S07,coat,ball,lid,ball,ball,1
C011-LV,LV,S08M,book,ten,bees,ten,ten,1
C011-LV,LV,S08M,clock,lid,park,park,park,1
C011-LV,LV,S06F,ten,suit,mouse,suit,suit,1
C011-LV,LV,S0M,boys,cot,house,house,house,1
C011-LV,LV,S0M,boys,book,shark,book,book,1
C011-LV,LV,S07,coat,ten,park,park,park,1
C011-LV,LV,S07,toys,suit,boys,boys,toys,0
C011-LV,LV,S07,bees,paws,toys,bees,bees,1
C011-LV,LV,S0M,suit,cup,shirt,shirt,shirt,1
C011-LV,LV,S0M,shark,ten,house,ten,ten,1
C011-LV,LV,S07,cup,bears,clock,bears,bears,1
C011-LV,LV,S07,teeth,house,toys,house,house,1
C011-LV,LV,S06F,tears,suit,skirt,skirt,tears,0
C011-LV,LV,S08M,food,cat,teeth,food,food,1
C011-LV,LV,S08M,tears,coat,boys,coat,coat,1
C011-LV,LV,S06F,ball,pears,cup,cup,cup,1
C011-LV,LV,S0M,gate,book,lid,lid,lid,1
C011-LV,LV,S08M,ring,hat,mouse,hat,hat,1
C011-LV,LV,S08M,bike,shark,leg,shark,shark,1
C011-LV,LV,S08M,cat,ring,boys,ring,boys,0
C011-LV,LV,S06F,lid,cup,piers,piers,piers,1
C011-LV,LV,S06F,ring,boys,teeth,boys,boys,1
C011-LV,LV,S07,teeth,cake,mouse,cake,cake,1
C011-LV,LV,S07,leg,cut,boys,cut,cut,1
C011-LV,LV,S07,shirt,piers,coat,coat,coat,1
C011-LV,LV,S0M,kite,cut,shirt,kite,kite,1
C011-LV,LV,S06F,gate,book,kite,gate,gate,1
C011-LV,LV,S06F,shirt,shark,park,shirt,shark,0
C011-LV,LV,S0M,hat,book,coat,coat,coat,1
C011-LV,LV,S07,cake,cot,leg,leg,cot,0
C011-LV,LV,S07,hat,shirt,pears,pears,pears,1
C011-LV,LV,S07,ball,shark,hat,hat,hat,1
C011-LV,LV,S08M,house,road,food,road,road,1
C011-LV,LV,S07,clock,house,boys,clock,clock,1
C011-LV,LV,S06F,hat,cake,park,hat,hat,1
C011-LV,LV,S0M,leg,cup,cat,leg,leg,1
C011-LV,LV,S06F,tears,ball,park,ball,ball,1
C011-LV,LV,S08M,piers,house,boys,piers,boys,0
C011-LV,LV,S08M,kite,cup,clock,clock,clock,1
C011-LV,LV,S08M,park,boys,clock,boys,boys,1
C011-LV,LV,S06F,house,ball,cot,house,house,1
C011-LV,LV,S07,cup,leg,mouse,mouse,mouse,1
C011-LV,LV,S06F,bees,cake,teeth,teeth,teeth,1
C011-LV,LV,S08M,ball,lid,cut,cut,cut,1
C011-LV,LV,S06F,coat,pears,mouse,pears,pears,1
C011-LV,LV,S08M,ring,bears,tears,bears,bears,1
C011-LV,LV,S07,foot,road,bees,foot,bees,0
C011-LV,LV,S07,paws,boys,tears,tears,boys,0
C011-LV,LV,S08M,book,bike,ring,book,book,1
C011-LV,LV,S08M,book,tears,gate,tears,tears,1
C011-LV,LV,S06F,ball,mouse,lid,lid,lid,1
C011-LV,LV,S07,teeth,toys,park,teeth,teeth,1
C011-LV,LV,S0M,bike,foot,bees,bees,bees,1
C011-LV,LV,S0M,pears,toys,kite,toys,toys,1
C011-LV,LV,S06F,tears,ten,cup,ten,ten,1
C011-LV,LV,S0M,piers,mouse,cot,cot,cot,1
C011-LV,LV,S08M,ball,cot,cut,cot,cot,1
C011-LV,LV,S06F,foot,paws,skirt,foot,foot,1
C011-LV,LV,S07,ten,bike,suit,ten,ten,1
C011-LV,LV,S07,book,teeth,boys,book,teeth,0
C011-LV,LV,S0M,bike,food,foot,food,food,1
C011-LV,LV,S08M,shirt,coat,pears,shirt,shirt,1
C011-LV,LV,S08M,ball,piers,hat,ball,ball,1
C011-LV,LV,S08M,boys,cup,bike,bike,bike,1
C011-LV,LV,S0M,road,leg,boys,boys,boys,1
C011-LV,LV,S06F,boys,bees,shirt,bees,bees,1
C011-LV,LV,S06F,cot,clock,hat,cot,cot,1
C011-LV,LV,S06F,hat,road,piers,road,road,1
C011-LV,LV,S08M,toys,shirt,road,toys,toys,1
C011-LV,LV,S0M,foot,mouse,cup,mouse,mouse,1
C011-LV,LV,S06F,paws,cut,toys,paws,paws,1
C011-LV,LV,S06F,lid,foot,park,park,park,1
C011-LV,LV,S0M,cat,cup,bees,cup,cup,1
C011-LV,LV,S08M,paws,road,leg,paws,paws,1
C011-LV,LV,S06F,tears,food,foot,food,food,1
C011-LV,LV,S07,shirt,cup,skirt,shirt,shirt,1
C011-LV,LV,S06F,mouse,tears,lid,tears,tears,1
C011-LV,LV,S08M,foot,coat,suit,foot,foot,1
C011-LV,LV,S0M,mouse,ten,cut,cut,cut,1
C011-LV,LV,S0M,skirt,mouse,hat,hat,hat,1
C011-LV,LV,S07,piers,hat,shark,piers,piers,1
C011-LV,LV,S06F,toys,mouse,book,mouse,mouse,1
C011-LV,LV,S08M,ring,boys,lid,lid,lid,1
C011-LV,LV,S06F,coat,ten,shark,shark,shark,1
C011-LV,LV,S0M,piers,coat,hat,piers,piers,1
C011-LV,LV,S08M,kite,skirt,leg,skirt,kite,0
C011-LV,LV,S0M,leg,foot,bees,foot,leg,0
C011-LV,LV,S06F,leg,toys,paws,leg,leg,1
C011-LV,LV,S08M,teeth,boys,lid,teeth,teeth,1
C011-LV,LV,S0M,cake,cut,cat,cat,cake,0
C011-LV,LV,S0M,kite,gate,tears,gate,gate,1
C011-LV,LV,S0M,kite,park,shark,park,park,1
C011-LV,LV,S07,tears,ball,cup,cup,cup,1
C011-LV,LV,S06F,kite,book,cat,book,book,1
C011-LV,LV,S07,book,food,cat,cat,cat,1
C011-LV,LV,S0M,house,tears,road,tears,tears,1
C011-LV,LV,S06F,tears,kite,boys,kite,kite,1
C011-LV,LV,S07,shark,piers,road,shark,shark,1
C011-LV,LV,S0M,tears,skirt,boys,skirt,skirt,1
C011-LV,LV,S0M,kite,piers,cake,cake,cake,1
C011-LV,LV,S07,food,pears,suit,suit,suit,1
C011-LV,LV,S06F,lid,clock,teeth,clock,clock,1
C011-LV,LV,S0M,suit,bears,park,suit,suit,1
C011-LV,LV,S0M,bears,bike,skirt,bears,bears,1
C011-LV,LV,S08M,cup,hat,cut,cup,cup,1
C011-LV,LV,S06F,tears,cut,park,cut,cut,1
C011-LV,LV,S07,cut,skirt,bees,skirt,skirt,1
C011-LV,LV,S0M,road,bears,house,road,road,1
C011-LV,LV,S08M,pears,gate,lid,pears,lid,0
C011-LV,LV,S0M,pears,skirt,ball,ball,ball,1
C011-LV,LV,S07,pears,lid,kite,kite,kite,1
C011-LV,LV,S06F,toys,cat,shirt,cat,cat,1
C011-LV,LV,S0M,shirt,ten,pears,pears,pears,1
C011-LV,LV,S0M,ring,clock,book,ring,clock,0
C011-LV,LV,S06F,pears,leg,toys,toys,leg,0
C011-LV,LV,S07,cut,food,gate,gate,gate,1
C011-LV,LV,S07,lid,ten,tears,lid,lid,1
C011-LV,LV,S08M,park,kite,ring,kite,kite,1
C012-LV,LV,S07,ten,park,teeth,teeth,teeth,1
C012-LV,LV,S0M,boys,bees,ten,ten,ten,1
C012-LV,LV,S06F,book,pears,ten,ten,ten,1
C012-LV,LV,S07,book,kite,food,book,book,1
C012-LV,LV,S0M,cake,book,tears,cake,cake,1
C012-LV,LV,S06F,paws,food,coat,coat,coat,1
C012-LV,LV,S0M,skirt,park,clock,skirt,park,0
C012-LV,LV,S06F,piers,mouse,bees,bees,bees,1
C012-LV,LV,S08M,foot,clock,road,clock,clock,1
C012-LV,LV,S07,cut,house,ball,cut,cut,1
C012-LV,LV,S08M,coat,cat,suit,coat,suit,0
C012-LV,LV,S0M,cat,tears,toys,toys,toys,1
C012-LV,LV,S07,park,skirt,book,park,skirt,0
C012-LV,LV,S07,suit,cut,book,suit,suit,1
C012-LV,LV,S06F,suit,mouse,bears,bears,bears,1
C012-LV,LV,S06F,coat,piers,tears,tears,piers,0
C012-LV,LV,S07,boys,food,pears,food,food,1
C012-LV,LV,S0M,coat,boys,cake,coat,coat,1
C012-LV,LV,S06F,suit,road,toys,suit,road,0
C012-LV,LV,S08M,house,suit,leg,house,house,1
C012-LV,LV,S08M,shark,food,tears,shark,shark,1
C012-LV,LV,S08M,mouse,shirt,cat,shirt,shirt,1
C012-LV,LV,S0M,piers,paws,hat,paws,paws,1
C012-LV,LV,S0M,lid,clock,suit,clock,clock,1
C012-LV,LV,S0M,shark,piers,food,food,food,1
C012-LV,LV,S06F,bees,cup,kite,kite,kite,1
C012-LV,LV,S07,pears,boys,skirt,skirt,skirt,1
C012-LV,LV,S07,lid,ball,clock,lid,lid,1
C012-LV,LV,S07,kite,clock,cake,kite,kite,1
C012-LV,LV,S0M,cut,mouse,cake,mouse,mouse,1
C012-LV,LV,S0M,piers,leg,gate,piers,gate,0
C012-LV,LV,S07,suit,road,shirt,road,road,1
C012-LV,LV,S06F,piers,book,paws,paws,paws,1
C012-LV,LV,S06F,shirt,leg,shark,shark,shark,1
C012-LV,LV,S08M,kite,foot,cot,cot,cot,1
C012-LV,LV,S06F,bike,teeth,pears,teeth,teeth,1
C012-LV,LV,S07,coat,ball,cat,cat,cat,1
C012-LV,LV,S0M,paws,foot,tears,foot,foot,1
C012-LV,LV,S08M,boys,ring,mouse,ring,ring,1
C012-LV,LV,S06F,pears,leg,cake,leg,leg,1
C012-LV,LV,S08M,cake,lid,boys,boys,boys,1
C012-LV,LV,S07,pears,cup,ten,cup,cup,1
C012-LV,LV,S08M,hat,bees,mouse,mouse,mouse,1
C012-LV,LV,S0M,shark,food,clock,shark,shark,1
C012-LV,LV,S08M,teeth,park,cat,park,park,1
C012-LV,LV,S0M,cat,cup,cut,cut,cut,1
C012-LV,LV,S07,shirt,cat,road,shirt,shirt,1
C012-LV,LV,S07,leg,suit,clock,leg,leg,1
C012-LV,LV,S07,cake,pears,cat,pears,pears,1
C012-LV,LV,S07,skirt,bees,clock,clock,clock,1
C012-LV,LV,S06F,gate,piers,kite,gate,piers,0
C012-LV,LV,S06F,bike,cot,gate,cot,cot,1
C012-LV,LV,S06F,food,house,cup,food,food,1
C012-LV,LV,S0M,road,suit,bears,suit,suit,1
C012-LV,LV,S07,house,cat,bees,bees,bees,1
C012-LV,LV,S08M,lid,kite,pears,pears,pears,1
C012-LV,LV,S0M,ball,coat,tears,tears,tears,1
C012-LV,LV,S0M,road,leg,paws,road,road,1
C012-LV,LV,S0M,suit,teeth,bike,bike,bike,1
C012-LV,LV,S0M,lid,food,cut,lid,lid,1
C012-LV,LV,S08M,ball,cup,hat,hat,hat,1
C012-LV,LV,S06F,book,cup,tears,cup,cup,1
C012-LV,LV,S06F,cut,clock,bees,clock,clock,1
C012-LV,LV,S0M,mouse,clock,cat,cat,cat,1
C012-LV,LV,S06F,foot,skirt,ball,skirt,skirt,1
C012-LV,LV,S06F,kite,cot,pears,pears,pears,1
C012-LV,LV,S06F,bees,cake,skirt,cake,cake,1
C012-LV,LV,S08M,house,food,kite,kite,kite,1
C012-LV,LV,S0M,tears,bees,foot,bees,bees,1
C012-LV,LV,S08M,paws,lid,park,lid,lid,1
C012-LV,LV,S07,bike,ball,foot,bike,bike,1
C012-LV,LV,S0M,cat,kite,teeth,kite,kite,1
C012-LV,LV,S06F,hat,boys,pears,boys,boys,1
C012-LV,LV,S08M,cake,road,bike,road,road,1
C012-LV,LV,S08M,cat,book,paws,paws,paws,1
C012-LV,LV,S08M,cut,lid,shirt,cut,shirt,0
C012-LV,LV,S08M,leg,book,bees,bees,bees,1
C012-LV,LV,S0M,shirt,cat,toys,shirt,shirt,1
C012-LV,LV,S07,cat,shirt,coat,coat,coat,1
C012-LV,LV,S0M,ring,toys,cup,cup,cup,1
C012-LV,LV,S0M,teeth,piers,bears,teeth,teeth,1
C012-LV,LV,S06F,cup,ring,skirt,ring,ring,1
C012-LV,LV,S08M,suit,skirt,road,suit,skirt,0
C012-LV,LV,S0M,ball,toys,boys,ball,ball,1
C012-LV,LV,S07,teeth,cot,coat,cot,cot,1
C012-LV,LV,S06F,cake,mouse,foot,foot,foot,1
C012-LV,LV,S08M,cake,teeth,tears,tears,tears,1
C012-LV,LV,S08M,piers,hat,lid,piers,piers,1
C012-LV,LV,S08M,coat,foot,toys,foot,foot,1
C012-LV,LV,S0M,shirt,suit,hat,hat,shirt,0
C012-LV,LV,S08M,leg,toys,ball,ball,ball,1
C012-LV,LV,S07,gate,cat,boys,boys,boys,1
C012-LV,LV,S08M,teeth,cut,book,teeth,teeth,1
C012-LV,LV,S08M,gate,bike,ten,gate,gate,1
C012-LV,LV,S0M,ring,ten,shirt,ring,ring,1
C012-LV,LV,S08M,cup,park,cat,cat,cat,1
C012-LV,LV,S07,mouse,lid,hat,hat,hat,1
C012-LV,LV,S06F,hat,mouse,cot,mouse,mouse,1
C012-LV,LV,S08M,paws,book,tears,book,book,1
C012-LV,LV,S0M,cot,leg,book,leg,leg,1
C012-LV,LV,S06F,shirt,ten,bike,shirt,shirt,1
C012-LV,LV,S06F,book,kite,suit,book,book,1
C012-LV,LV,S0M,pears,ball,gate,gate,gate,1
C012-LV,LV,S06F,skirt,mouse,toys,toys,toys,1
C012-LV,LV,S0M,paws,boys,cot,cot,cot,1
C012-LV,LV,S08M,clock,road,toys,toys,toys,1
C012-LV,LV,S08M,food,teeth,cot,food,food,1
C012-LV,LV,S06F,bike,cot,lid,bike,bike,1
C012-LV,LV,S07,mouse,cut,tears,mouse,mouse,1
C012-LV,LV,S07,bees,pears,toys,toys,toys,1
C012-LV,LV,S07,tears,food,teeth,tears,tears,1
C012-LV,LV,S07,cake,house,bears,house,house,1
C012-LV,LV,S07,bees,leg,paws,paws,paws,1
C012-LV,LV,S08M,piers,bears,mouse,bears,bears,1
C012-LV,LV,S08M,skirt,coat,cup,cup,cup,1
C012-LV,LV,S08M,shirt,bike,cup,bike,bike,1
C012-LV,LV,S07,book,piers,bears,bears,piers,0
C012-LV,LV,S07,piers,suit,teeth,piers,piers,1
C012-LV,LV,S08M,kite,ten,toys,ten,ten,1
C012-LV,LV,S08M,bears,shirt,leg,leg,leg,1
C012-LV,LV,S06F,cake,ring,park,park,park,1
C012-LV,LV,S07,shirt,shark,cot,shark,shark,1
C012-LV,LV,S07,cake,tears,gate,cake,cake,1
C012-LV,LV,S07,cup,gate,bees,gate,gate,1
C012-LV,LV,S07,paws,foot,cup,foot,foot,1
C012-LV,LV,S06F,park,piers,road,piers,piers,1
C012-LV,LV,S06F,bears,bike,road,road,road,1
C012-LV,LV,S06F,paws,cup,lid,lid,lid,1
C012-LV,LV,S06F,house,boys,teeth,house,house,1
C012-LV,LV,S0M,book,food,bike,book,book,1
C012-LV,LV,S0M,pears,coat,toys,pears,toys,0
C012-LV,LV,S06F,leg,cat,tears,cat,cat,1
C012-LV,LV,S06F,cut,kite,boys,cut,kite,0
C012-LV,LV,S07,gate,ball,shark,ball,ball,1
C012-LV,LV,S07,mouse,ten,pears,ten,ten,1
C012-LV,LV,S08M,skirt,paws,suit,skirt,paws,0
C012-LV,LV,S0M,teeth,boys,paws,boys,boys,1
C012-LV,LV,S06F,park,shark,ball,ball,ball,1
C012-LV,LV,S07,clock,ring,cat,ring,ring,1
C012-LV,LV,S08M,clock,ten,cake,cake,cake,1
C012-LV,LV,S0M,road,bears,cot,bears,bears,1
C012-LV,LV,S0M,gate,park,coat,park,park,1
C012-LV,LV,S06F,kite,hat,cat,hat,hat,1
C012-LV,LV,S0M,leg,coat,house,house,house,1
C013-LV,LV,S0M,shark,toys,leg,leg,leg,1
C013-LV,LV,S06F,mouse,bears,cut,bears,bears,1
C013-LV,LV,S06F,cup,ten,toys,ten,ten,1
C013-LV,LV,S07,book,bees,ring,bees,bees,1
C013-LV,LV,S08M,ten,hat,coat,coat,coat,1
C013-LV,LV,S08M,cat,road,pears,pears,road,0
C013-LV,LV,S0M,toys,park,skirt,skirt,skirt,1
C013-LV,LV,S08M,clock,book,house,book,book,1
C013-LV,LV,S06F,bears,leg,lid,leg,leg,1
C013-LV,LV,S08M,pears,skirt,cake,skirt,skirt,1
C013-LV,LV,S06F,house,boys,bees,boys,boys,1
C013-LV,LV,S07,cat,coat,road,coat,cat,0
C013-LV,LV,S0M,cup,teeth,ten,cup,cup,1
C013-LV,LV,S07,skirt,food,toys,toys,toys,1
C013-LV,LV,S08M,boys,cup,ring,boys,boys,1
C013-LV,LV,S07,food,teeth,pears,pears,teeth,0
C013-LV,LV,S06F,house,clock,kite,clock,clock,1
C013-LV,LV,S06F,food,road,bears,food,food,1
C013-LV,LV,S08M,teeth,ball,bees,teeth,teeth,1
C013-LV,LV,S08M,shirt,bike,suit,shirt,shirt,1
C013-LV,LV,S06F,tears,bees,coat,coat,coat,1
C013-LV,LV,S08M,pears,bike,cat,bike,pears,0
C013-LV,LV,S06F,gate,toys,piers,piers,piers,1
C013-LV,LV,S06F,road,paws,toys,paws,toys,0
C013-LV,LV,S07,book,cut,ring,book,book,1
