Group,Test,participant,Pair,nTrials,nCorrect,Accuracy
HV,pre,C017,boat-bout,6,5,0.833333333
HV,pre,C017,bot-but,6,4,0.666666667
HV,pre,C017,poot-put,6,4,0.666666667
HV,pre,C018,bait-bet,6,6,1
HV,pre,C018,bait-bite,6,6,1
HV,pre,C018,bared-beard,6,4,0.666666667
HV,pre,C018,bared-bird,6,3,0.5
HV,pre,C018,bart-bert,6,5,0.833333333
HV,pre,C018,bart-bot,6,6,1
HV,pre,C018,bart-but,6,3,0.5
HV,pre,C018,bat-but,6,3,0.5
HV,pre,C018,beat-bit,6,6,1
HV,pre,C018,bet-bit,6,6,1
HV,pre,C018,bit-bite,6,6,1
HV,pre,C018,board-buoyed,6,5,0.833333333
HV,pre,C018,boat-bout,6,5,0.833333333
HV,pre,C018,bot-but,6,5,0.833333333
HV,pre,C018,poot-put,6,6,1
HV,pre,C019,bait-bet,6,5,0.833333333
HV,pre,C019,bait-bite,6,6,1
HV,pre,C019,bared-beard,6,4,0.666666667
HV,pre,C019,bared-bird,6,2,0.333333333
HV,pre,C019,bart-bert,6,3,0.5
HV,pre,C019,bart-bot,6,5,0.833333333
HV,pre,C019,bart-but,6,4,0.666666667
HV,pre,C019,bat-but,6,3,0.5
HV,pre,C019,beat-bit,6,5,0.833333333
HV,pre,C019,bet-bit,6,4,0.666666667
HV,pre,C019,bit-bite,6,6,1
HV,pre,C019,board-buoyed,6,4,0.666666667
HV,pre,C019,boat-bout,6,6,1
HV,pre,C019,bot-but,6,2,0.333333333
HV,pre,C019,poot-put,6,5,0.833333333
HV,pre,C02,bait-bet,6,3,0.5
HV,pre,C02,bait-bite,6,3,0.5
HV,pre,C02,bared-beard,6,6,1
HV,pre,C02,bared-bird,6,2,0.333333333
HV,pre,C02,bart-bert,6,3,0.5
HV,pre,C02,bart-bot,6,2,0.333333333
HV,pre,C02,bart-but,6,4,0.666666667
HV,pre,C02,bat-but,6,3,0.5
HV,pre,C02,beat-bit,6,6,1
HV,pre,C02,bet-bit,6,4,0.666666667
HV,pre,C02,bit-bite,6,4,0.666666667
HV,pre,C02,board-buoyed,6,4,0.666666667
HV,pre,C02,boat-bout,6,2,0.333333333
HV,pre,C02,bot-but,6,3,0.5
HV,pre,C02,poot-put,6,5,0.833333333
HV,pre,C020,bait-bet,6,5,0.833333333
HV,pre,C020,bait-bite,6,6,1
HV,pre,C020,bared-beard,6,3,0.5
HV,pre,C020,bared-bird,6,2,0.333333333
HV,pre,C020,bart-bert,6,4,0.666666667
HV,pre,C020,bart-bot,6,3,0.5
HV,pre,C020,bart-but,6,3,0.5
HV,pre,C020,bat-but,6,3,0.5
HV,pre,C020,beat-bit,6,5,0.833333333
HV,pre,C020,bet-bit,6,5,0.833333333
HV,pre,C020,bit-bite,6,6,1
HV,pre,C020,board-buoyed,6,5,0.833333333
HV,pre,C020,boat-bout,6,4,0.666666667
HV,pre,C020,bot-but,6,5,0.833333333
HV,pre,C020,poot-put,6,4,0.666666667
HV,pre,C021,bait-bet,6,1,0.166666667
HV,pre,C021,bait-bite,6,2,0.333333333
HV,pre,C021,bared-beard,6,3,0.5
HV,pre,C021,bared-bird,6,1,0.166666667
HV,pre,C021,bart-bert,6,4,0.666666667
HV,pre,C021,bart-bot,6,1,0.166666667
HV,pre,C021,bart-but,6,3,0.5
HV,pre,C021,bat-but,6,2,0.333333333
HV,pre,C021,beat-bit,6,1,0.166666667
HV,pre,C021,bet-bit,6,1,0.166666667
HV,pre,C021,bit-bite,6,0,0
HV,pre,C021,board-buoyed,6,2,0.333333333
HV,pre,C021,boat-bout,6,3,0.5
HV,pre,C021,bot-but,6,2,0.333333333
HV,pre,C021,poot-put,6,2,0.333333333
HV,pre,C023,bait-bet,6,2,0.333333333
HV,pre,C023,bait-bite,6,2,0.333333333
HV,pre,C023,bared-beard,6,1,0.166666667
HV,pre,C023,bared-bird,6,2,0.333333333
HV,pre,C023,bart-bert,6,2,0.333333333
HV,pre,C023,bart-bot,6,3,0.5
HV,pre,C023,bart-but,6,2,0.333333333
HV,pre,C023,bat-but,6,1,0.166666667
HV,pre,C023,beat-bit,6,3,0.5
HV,pre,C023,bet-bit,6,2,0.333333333
HV,pre,C023,bit-bite,6,2,0.333333333
HV,pre,C023,board-buoyed,6,2,0.333333333
HV,pre,C023,boat-bout,6,3,0.5
HV,pre,C023,bot-but,6,1,0.166666667
HV,pre,C023,poot-put,6,3,0.5
HV,pre,C024,bait-bet,6,4,0.666666667
HV,pre,C024,bait-bite,6,2,0.333333333
HV,pre,C024,bared-beard,6,4,0.666666667
HV,pre,C024,bared-bird,6,2,0.333333333
HV,pre,C024,bart-bert,6,3,0.5
HV,pre,C024,bart-bot,6,2,0.333333333
HV,pre,C024,bart-but,6,3,0.5
HV,pre,C024,bat-but,6,1,0.166666667
HV,pre,C024,beat-bit,6,3,0.5
HV,pre,C024,bet-bit,6,2,0.333333333
HV,pre,C024,bit-bite,6,0,0
HV,pre,C024,board-buoyed,6,0,0
HV,pre,C024,boat-bout,6,3,0.5
HV,pre,C024,bot-but,6,1,0.166666667
HV,pre,C024,poot-put,6,3,0.5
HV,pre,C03,bait-bet,6,4,0.666666667
HV,pre,C03,bait-bite,6,3,0.5
HV,pre,C03,bared-beard,6,3,0.5
HV,pre,C03,bared-bird,6,3,0.5
HV,pre,C03,bart-bert,6,4,0.666666667
HV,pre,C03,bart-bot,6,3,0.5
HV,pre,C03,bart-but,6,3,0.5
HV,pre,C03,bat-but,6,4,0.666666667
HV,pre,C03,beat-bit,6,3,0.5
HV,pre,C03,bet-bit,6,2,0.333333333
HV,pre,C03,bit-bite,6,5,0.833333333
HV,pre,C03,board-buoyed,6,4,0.666666667
HV,pre,C03,boat-bout,6,2,0.333333333
HV,pre,C03,bot-but,6,1,0.166666667
HV,pre,C03,poot-put,6,3,0.5
HV,pre,C04,bait-bet,6,5,0.833333333
HV,pre,C04,bait-bite,6,4,0.666666667
HV,pre,C04,bared-beard,6,4,0.666666667
HV,pre,C04,bared-bird,6,2,0.333333333
HV,pre,C04,bart-bert,6,4,0.666666667
HV,pre,C04,bart-bot,6,3,0.5
HV,pre,C04,bart-but,6,2,0.333333333
HV,pre,C04,bat-but,6,3,0.5
HV,pre,C04,beat-bit,6,5,0.833333333
HV,pre,C04,bet-bit,6,6,1
HV,pre,C04,bit-bite,6,5,0.833333333
HV,pre,C04,board-buoyed,6,5,0.833333333
HV,pre,C04,boat-bout,6,3,0.5
HV,pre,C04,bot-but,6,4,0.666666667
HV,pre,C04,poot-put,6,5,0.833333333
HV,pre,C05,bait-bet,6,5,0.833333333
HV,pre,C05,bait-bite,6,4,0.666666667
HV,pre,C05,bared-beard,6,5,0.833333333
HV,pre,C05,bared-bird,6,4,0.666666667
HV,pre,C05,bart-bert,6,5,0.833333333
HV,pre,C05,bart-bot,6,4,0.666666667
HV,pre,C05,bart-but,6,3,0.5
HV,pre,C05,bat-but,6,3,0.5
HV,pre,C05,beat-bit,6,5,0.833333333
HV,pre,C05,bet-bit,6,6,1
HV,pre,C05,bit-bite,6,5,0.833333333
HV,pre,C05,board-buoyed,6,6,1
HV,pre,C05,boat-bout,6,6,1
HV,pre,C05,bot-but,6,4,0.666666667
HV,pre,C05,poot-put,6,5,0.833333333
HV,pre,C06,bait-bet,6,6,1
HV,pre,C06,bait-bite,6,4,0.666666667
HV,pre,C06,bared-beard,6,5,0.833333333
HV,pre,C06,bared-bird,6,4,0.666666667
HV,pre,C06,bart-bert,6,4,0.666666667
HV,pre,C06,bart-bot,6,1,0.166666667
HV,pre,C06,bart-but,6,2,0.333333333
HV,pre,C06,bat-but,6,3,0.5
HV,pre,C06,beat-bit,6,5,0.833333333
HV,pre,C06,bet-bit,6,5,0.833333333
HV,pre,C06,bit-bite,6,6,1
HV,pre,C06,board-buoyed,6,5,0.833333333
HV,pre,C06,boat-bout,6,5,0.833333333
HV,pre,C06,bot-but,6,5,0.833333333
HV,pre,C06,poot-put,6,4,0.666666667
HV,pre,C07,bait-bet,6,3,0.5
HV,pre,C07,bait-bite,6,2,0.333333333
HV,pre,C07,bared-beard,6,3,0.5
HV,pre,C07,bared-bird,6,1,0.166666667
HV,pre,C07,bart-bert,6,3,0.5
HV,pre,C07,bart-bot,6,1,0.166666667
HV,pre,C07,bart-but,6,2,0.333333333
HV,pre,C07,bat-but,6,3,0.5
HV,pre,C07,beat-bit,6,3,0.5
HV,pre,C07,bet-bit,6,5,0.833333333
HV,pre,C07,bit-bite,6,5,0.833333333
HV,pre,C07,board-buoyed,6,4,0.666666667
HV,pre,C07,boat-bout,6,5,0.833333333
HV,pre,C07,bot-but,6,2,0.333333333
HV,pre,C07,poot-put,6,3,0.5
HV,pre,C08,bait-bet,6,5,0.833333333
HV,pre,C08,bait-bite,6,3,0.5
HV,pre,C08,bared-beard,6,3,0.5
HV,pre,C08,bared-bird,6,2,0.333333333
HV,pre,C08,bart-bert,6,4,0.666666667
HV,pre,C08,bart-bot,6,1,0.166666667
HV,pre,C08,bart-but,6,2,0.333333333
HV,pre,C08,bat-but,6,4,0.666666667
HV,pre,C08,beat-bit,6,3,0.5
HV,pre,C08,bet-bit,6,5,0.833333333
HV,pre,C08,bit-bite,6,5,0.833333333
HV,pre,C08,board-buoyed,6,5,0.833333333
HV,pre,C08,boat-bout,6,4,0.666666667
HV,pre,C08,bot-but,6,5,0.833333333
HV,pre,C08,poot-put,6,3,0.5
HV,pre,C09,bait-bet,6,6,1
HV,pre,C09,bait-bite,6,5,0.833333333
HV,pre,C09,bared-beard,6,3,0.5
HV,pre,C09,bared-bird,6,0,0
HV,pre,C09,bart-bert,6,4,0.666666667
HV,pre,C09,bart-bot,6,3,0.5
HV,pre,C09,bart-but,6,4,0.666666667
HV,pre,C09,bat-but,6,3,0.5
HV,pre,C09,beat-bit,6,4,0.666666667
HV,pre,C09,bet-bit,6,4,0.666666667
HV,pre,C09,bit-bite,6,5,0.833333333
HV,pre,C09,board-buoyed,6,5,0.833333333
HV,pre,C09,boat-bout,6,3,0.5
HV,pre,C09,bot-but,6,4,0.666666667
HV,pre,C09,poot-put,6,4,0.666666667
HV,post,C01,bait-bet,6,6,1
HV,post,C01,bait-bite,6,5,0.833333333
HV,post,C01,bared-beard,6,3,0.5
HV,post,C01,bared-bird,6,3,0.5
HV,post,C01,bart-bert,6,5,0.833333333
HV,post,C01,bart-bot,6,4,0.666666667
HV,post,C01,bart-but,6,4,0.666666667
HV,post,C01,bat-but,6,4,0.666666667
HV,post,C01,beat-bit,6,5,0.833333333
HV,post,C01,bet-bit,6,4,0.666666667
HV,post,C01,bit-bite,6,5,0.833333333
HV,post,C01,board-buoyed,6,6,1
HV,post,C01,boat-bout,6,4,0.666666667
HV,post,C01,bot-but,6,4,0.666666667
HV,post,C01,poot-put,6,4,0.666666667
HV,post,C010,bait-bet,6,3,0.5
HV,post,C010,bait-bite,6,1,0.166666667
HV,post,C010,bared-beard,6,4,0.666666667
HV,post,C010,bared-bird,6,3,0.5
HV,post,C010,bart-bert,6,3,0.5
HV,post,C010,bart-bot,6,5,0.833333333
HV,post,C010,bart-but,6,3,0.5
HV,post,C010,bat-but,6,2,0.333333333
HV,post,C010,beat-bit,6,4,0.666666667
HV,post,C010,bet-bit,6,2,0.333333333
HV,post,C010,bit-bite,6,2,0.333333333
HV,post,C010,board-buoyed,6,3,0.5
HV,post,C010,boat-bout,6,4,0.666666667
HV,post,C010,bot-but,6,3,0.5
HV,post,C010,poot-put,6,2,0.333333333
HV,post,C011,bait-bet,6,2,0.333333333
HV,post,C011,bait-bite,6,6,1
HV,post,C011,bared-beard,6,5,0.833333333
HV,post,C011,bared-bird,6,2,0.333333333
HV,post,C011,bart-bert,6,3,0.5
HV,post,C011,bart-bot,6,3,0.5
HV,post,C011,bart-but,6,2,0.333333333
HV,post,C011,bat-but,6,0,0
HV,post,C011,beat-bit,6,5,0.833333333
HV,post,C011,bet-bit,6,4,0.666666667
HV,post,C011,bit-bite,6,5,0.833333333
HV,post,C011,board-buoyed,6,4,0.666666667
HV,post,C011,boat-bout,6,3,0.5
HV,post,C011,bot-but,6,3,0.5
HV,post,C011,poot-put,6,4,0.666666667
HV,post,C013,bait-bet,6,6,1
HV,post,C013,bait-bite,6,6,1
HV,post,C013,bared-beard,6,6,1
HV,post,C013,bared-bird,6,4,0.666666667
HV,post,C013,bart-bert,6,5,0.833333333
HV,post,C013,bart-bot,6,6,1
HV,post,C013,bart-but,6,5,0.833333333
HV,post,C013,bat-but,6,4,0.666666667
HV,post,C013,beat-bit,6,6,1
HV,post,C013,bet-bit,6,6,1
HV,post,C013,bit-bite,6,6,1
HV,post,C013,board-buoyed,6,5,0.833333333
HV,post,C013,boat-bout,6,6,1
HV,post,C013,bot-but,6,5,0.833333333
HV,post,C013,poot-put,6,5,0.833333333
HV,post,C014,bait-bet,6,6,1
HV,post,C014,bait-bite,6,5,0.833333333
HV,post,C014,bared-beard,6,5,0.833333333
HV,post,C014,bared-bird,6,3,0.5
HV,post,C014,bart-bert,6,4,0.666666667
HV,post,C014,bart-bot,6,6,1
HV,post,C014,bart-but,6,4,0.666666667
HV,post,C014,bat-but,6,2,0.333333333
HV,post,C014,beat-bit,6,5,0.833333333
HV,post,C014,bet-bit,6,3,0.5
HV,post,C014,bit-bite,6,6,1
HV,post,C014,board-buoyed,6,4,0.666666667
HV,post,C014,boat-bout,6,5,0.833333333
HV,post,C014,bot-but,6,4,0.666666667
HV,post,C014,poot-put,6,4,0.666666667
HV,post,C015,bait-bet,6,3,0.5
HV,post,C015,bait-bite,6,3,0.5
HV,post,C015,bared-beard,6,3,0.5
HV,post,C015,bared-bird,6,2,0.333333333
HV,post,C015,bart-bert,6,4,0.666666667
HV,post,C015,bart-bot,6,3,0.5
HV,post,C015,bart-but,6,1,0.166666667
HV,post,C015,bat-but,6,1,0.166666667
HV,post,C015,beat-bit,6,3,0.5
HV,post,C015,bet-bit,6,2,0.333333333
