participant,vowel,group,test,duration,f1,f2
C01,hoed,HV,post,231,769,2052
C01,hood,HV,post,130,563,1773
C01,howd,HV,post,243,1037,1896
C01,hoyd,HV,post,243,788,1549
C01,hud,HV,post,214,1048,2129
C01,whod,HV,post,207,540,1449
C020,had,HV,post,217,1190,2285
C020,haired,HV,post,249,1075,1679
C020,hard,HV,post,310,588,1130
C020,hayed,HV,post,352,438,933
C020,head,HV,post,147,795,2626
C020,hear,HV,post,322,803,2527
C020,heard,HV,post,235,1037,2191
C020,heed,HV,post,226,504,3423
C020,hid,HV,post,273,324,1939
C020,hide,HV,post,305,1053,1390
C020,hoard,HV,post,262,572,1363
C020,hod,HV,post,184,688,1282
C020,hoed,HV,post,268,664,859
C020,hood,HV,post,218,527,1397
C020,howd,HV,post,329,951,1036
C020,hoyd,HV,post,326,527,2518
C020,hud,HV,post,136,758,868
C020,whod,HV,post,296,507,1604
C021,had,HV,post,248,1031,1500
C021,haired,HV,post,417,1022,1382
C021,hard,HV,post,380,909,1115
C021,hayed,HV,post,336,540,3281
C021,head,HV,post,92,957,2301
C021,hear,HV,post,407,1004,1741
C021,heard,HV,post,362,1072,1280
C021,heed,HV,post,403,659,3458
C021,hid,HV,post,65,587,2873
C021,hide,HV,post,354,740,1059
C021,hoard,HV,post,397,747,1228
C021,hod,HV,post,122,894,1331
C021,hoed,HV,post,374,600,1958
C021,hood,HV,post,189,542,1834
C021,howd,HV,post,388,1201,1879
C021,hoyd,HV,post,348,778,1864
C021,hud,HV,post,158,644,1057
C021,whod,HV,post,418,529,2535
C023,had,HV,post,250,1197,1899
C023,haired,HV,post,348,840,2338
C023,hard,HV,post,421,921,1386
C023,hayed,HV,post,217,655,3195
C023,head,HV,post,148,661,2507
C023,hear,HV,post,369,934,2208
C023,heard,HV,post,304,668,2105
C023,heed,HV,post,344,402,3179
C023,hid,HV,post,142,590,2941
C023,hide,HV,post,335,759,2401
C023,hoard,HV,post,322,623,1123
C023,hod,HV,post,177,598,1212
C023,hoed,HV,post,281,675,1997
C023,hood,HV,post,178,665,2055
C023,howd,HV,post,335,1149,1743
C023,hoyd,HV,post,267,597,1868
C023,hud,HV,post,128,938,2286
C023,whod,HV,post,287,398,1243
C024,had,HV,post,268,1119,1829
C024,haired,HV,post,303,879,1102
C024,hard,HV,post,295,1114,1700
C024,hayed,HV,post,323,638,1813
C024,head,HV,post,191,987,2890
C024,hear,HV,post,294,915,1003
C024,heard,HV,post,293,902,1086
C024,heed,HV,post,320,563,3331
C024,hid,HV,post,124,624,3112
C024,hide,HV,post,361,1097,1636
C024,hoard,HV,post,319,655,1085
C024,hod,HV,post,187,899,1271
C024,hoed,HV,post,374,873,1120
C024,hood,HV,post,125,884,1548
C024,howd,HV,post,385,1068,1203
C024,hoyd,HV,post,337,804,1395
C024,hud,HV,post,151,948,1615
C024,whod,HV,post,396,600,993
C02,had,HV,post,287,1092,2157
C02,haired,HV,post,464,885,2349
C02,hard,HV,post,308,1135,1533
C02,hayed,HV,post,345,502,2882
C02,head,HV,post,231,571,2314
C02,hear,HV,post,424,746,2083
C02,heard,HV,post,322,763,1952
C02,heed,HV,post,369,552,3035
C02,hid,HV,post,156,527,2630
C02,hide,HV,post,361,562,2038
C02,hoard,HV,post,440,560,1185
C02,hod,HV,post,252,957,1640
C02,hoed,HV,post,381,512,1446
C02,hood,HV,post,143,739,2010
C02,howd,HV,post,417,796,1813
C02,hoyd,HV,post,377,768,2240
C02,hud,HV,post,194,695,1772
C02,whod,HV,post,330,508,1612
C03,had,HV,post,212,619,1598
C03,haired,HV,post,327,1111,2225
C03,hard,HV,post,319,1000,1323
C03,hayed,HV,post,331,680,2827
C03,head,HV,post,202,638,2151
C03,hear,HV,post,413,882,1764
C03,heard,HV,post,395,667,1721
C03,heed,HV,post,408,470,2840
C03,hid,HV,post,155,503,2702
C03,hide,HV,post,397,701,1801
