participant,group,test,stim1,stim2,stim3,response,odd-one-out,correct-response
C06,HV,pre,bet,bait,bait,1,1,1
C06,HV,pre,bot,but,bot,2,2,1
C06,HV,pre,bit,bit,bite,3,3,1
C06,HV,pre,bit,bet,bit,2,2,1
C06,HV,pre,bit,bit,beat,3,3,1
C06,HV,pre,bart,bert,bert,3,1,0
C06,HV,pre,bait,bet,bait,2,2,1
C06,HV,pre,bared,beard,beard,1,1,1
C06,HV,pre,buoyed,board,buoyed,2,2,1
C06,HV,pre,bait,bait,bite,3,3,1
C06,HV,pre,bet,bet,bit,3,3,1
C06,HV,pre,but,bat,but,1,2,0
C06,HV,pre,bite,bit,bit,1,1,1
C06,HV,pre,bird,bird,bared,3,3,1
C06,HV,pre,but,bot,bot,1,1,1
C06,HV,pre,beard,bared,bared,3,1,0
C06,HV,pre,bird,bared,bared,3,1,0
C06,HV,pre,bait,bite,bite,1,1,1
C06,HV,pre,bared,bared,bird,3,3,1
C06,HV,pre,but,bot,but,2,2,1
C06,HV,pre,beard,bared,beard,2,2,1
C06,HV,pre,bert,bart,bert,2,2,1
C06,HV,pre,bite,bite,bit,3,3,1
C06,HV,pre,bart,but,but,3,1,0
C06,HV,pre,bit,bet,bet,3,1,0
C06,HV,pre,put,put,poot,3,3,1
C06,HV,pre,buoyed,board,board,3,1,0
C06,HV,pre,bat,but,bat,2,2,1
C06,HV,pre,beat,bit,beat,3,2,0
C06,HV,pre,bart,bot,bart,1,2,0
C06,HV,pre,bot,but,but,1,1,1
C06,HV,pre,bot,but,but,1,1,1
C06,HV,pre,bit,bit,bet,3,3,1
C06,HV,pre,but,but,bart,1,3,0
C06,HV,pre,but,bart,but,2,2,1
C06,HV,pre,bart,bot,bot,3,1,0
C06,HV,pre,bart,bart,bot,2,3,0
C06,HV,pre,bert,bart,bart,1,1,1
C06,HV,pre,board,buoyed,board,2,2,1
C06,HV,pre,poot,poot,put,3,3,1
C06,HV,pre,bared,beard,bared,2,2,1
C06,HV,pre,board,board,buoyed,3,3,1
C06,HV,pre,bait,bet,bet,1,1,1
C06,HV,pre,bat,bat,but,3,3,1
C06,HV,pre,bared,bird,bird,3,1,0
C06,HV,pre,put,poot,poot,1,1,1
C06,HV,pre,beat,beat,bit,3,3,1
C06,HV,pre,but,bart,bart,3,1,0
C06,HV,pre,bite,bit,bite,2,2,1
C06,HV,pre,bout,boat,bout,2,2,1
C06,HV,pre,bait,bite,bait,3,2,0
C06,HV,pre,bared,bared,beard,3,3,1
C06,HV,pre,bait,bait,bet,3,3,1
C06,HV,pre,bite,bite,bait,3,3,1
C06,HV,pre,bared,bird,bared,2,2,1
