participant,vowel,duration,group,test,V,C
C021,heard,268,LV,post,heard,True
C021,heed,294,LV,post,heed,True
C021,hid,131,LV,post,hid,True
C021,hoard,366,LV,post,hoard,True
C021,hod,119,LV,post,head,False
C021,hood,81,LV,post,hoard,False
C021,hud,144,LV,post,hud,True
C021,whod,314,LV,post,hid,False
C022,had,153,LV,post,head,False
C022,hard,446,LV,post,hard,True
C022,head,163,LV,post,hid,False
C022,heard,417,LV,post,hood,False
C022,heed,324,LV,post,whod,False
C022,hid,190,LV,post,hid,True
C022,hoard,406,LV,post,hoard,True
C022,hod,186,LV,post,hoard,False
C022,hood,232,LV,post,hoard,False
C022,hud,165,LV,post,hud,True
C022,whod,347,LV,post,hoard,False
C023,had,184,LV,post,hud,False
C023,hard,236,LV,post,hud,False
C023,head,148,LV,post,head,True
C023,heard,237,LV,post,head,False
C023,heed,248,LV,post,heed,True
C023,hid,134,LV,post,whod,False
C023,hoard,201,LV,post,hod,False
C023,hod,165,LV,post,hod,True
C023,hood,136,LV,post,hoard,False
C023,hud,130,LV,post,head,False
C023,whod,242,LV,post,hoard,False
C024,had,155,LV,post,head,False
C024,hard,256,LV,post,hud,False
C024,head,141,LV,post,head,True
C024,heard,238,LV,post,head,False
C024,heed,175,LV,post,heed,True
C024,hid,102,LV,post,hid,True
C024,hoard,225,LV,post,hod,False
C024,hod,114,LV,post,hoard,False
C024,hood,134,LV,post,heard,False
C024,hud,133,LV,post,hud,True
C024,whod,237,LV,post,whod,True
C02,had,131,LV,post,hud,False
C02,hard,194,LV,post,hod,False
C02,head,128,LV,post,head,True
C02,heard,259,LV,post,hoard,False
C02,heed,240,LV,post,heed,True
C02,hid,137,LV,post,hid,True
C02,hoard,243,LV,post,hod,False
C02,hod,123,LV,post,hod,True
C02,hood,74,LV,post,whod,False
C02,hud,132,LV,post,heard,False
C02,whod,255,LV,post,hoard,False
C03,had,204,LV,post,hud,False
C03,hard,244,LV,post,hard,True
C03,head,118,LV,post,head,True
C03,heard,229,LV,post,hood,False
C03,heed,266,LV,post,hid,False
C03,hid,155,LV,post,whod,False
C03,hoard,227,LV,post,hoard,True
C03,hod,75,LV,post,hud,False
C03,hood,157,LV,post,whod,False
C03,hud,202,LV,post,had,False
C03,whod,236,LV,post,hoard,False
C04,had,169,LV,post,head,False
C04,hard,225,LV,post,heard,False
C04,head,174,LV,post,head,True
C04,heard,259,LV,post,head,False
C04,heed,322,LV,post,hoard,False
C04,hid,176,LV,post,hid,True
C04,hoard,231,LV,post,hod,False
C04,hod,224,LV,post,hod,True
C04,hood,159,LV,post,hood,True
C04,hud,101,LV,post,had,False
C04,whod,243,LV,post,whod,True
C05,had,184,LV,post,had,True
C05,hard,338,LV,post,had,False
C05,head,239,LV,post,head,True
C05,heard,286,LV,post,hoard,False
C05,heed,318,LV,post,heed,True
C05,hid,137,LV,post,hid,True
C05,hoard,243,LV,post,hard,False
C05,hod,120,LV,post,hud,False
C05,hood,233,LV,post,hoard,False
C05,hud,149,LV,post,had,False
C05,whod,237,LV,post,whod,True
C06,had,127,LV,post,head,False
C06,hard,317,LV,post,hard,True
C06,head,155,LV,post,hid,False
C06,heard,251,LV,post,hoard,False
C06,heed,291,LV,post,heed,True
C06,hid,125,LV,post,hid,True
C06,hoard,332,LV,post,hoard,True
C06,hod,165,LV,post,hoard,False
C06,hood,116,LV,post,hood,True
C06,whod,307,LV,post,hoard,False
C06,hud,104,LV,post,hud,True
C07,had,195,LV,post,had,True
C07,hard,282,LV,post,hud,False
C07,head,173,LV,post,head,True
C07,heard,309,LV,post,head,False
C07,heed,289,LV,post,heed,True
C07,hid,146,LV,post,hid,True
C07,hoard,365,LV,post,hoard,True
C07,hod,154,LV,post,hod,True
C07,hood,165,LV,post,heard,False
C07,hud,131,LV,post,head,False
C07,whod,353,LV,post,whod,True
C08,had,188,LV,post,head,False
C08,hard,292,LV,post,hud,False
C08,head,154,LV,post,hod,False
C08,heard,314,LV,post,head,False
C08,heed,253,LV,post,heed,True
C08,hid,118,LV,post,heed,False
C08,hoard,250,LV,post,hod,False
C08,hod,111,LV,post,hod,True
C08,hood,157,LV,post,hoard,False
C08,hud,102,LV,post,head,False
C08,whod,345,LV,post,whod,True
C09,had,192,LV,post,hod,False
C09,hard,241,LV,post,hard,True
C09,head,147,LV,post,hud,False
C09,heard,242,LV,post,head,False
C09,heed,304,LV,post,hid,False
C09,hid,172,LV,post,head,False
C09,hoard,284,LV,post,hod,False
C09,hod,136,LV,post,hod,True
C09,hood,141,LV,post,head,False
C09,hud,152,LV,post,hud,True
C09,whod,265,LV,post,hoard,False
C012,had,229,LV,post,hard,False
C012,hard,379,LV,post,hod,False
C012,head,149,LV,post,hid,False
C012,heard,300,LV,post,head,False
C012,heed,362,LV,post,whod,False
C012,hid,113,LV,post,head,False
C012,hoard,334,LV,post,hod,False
C012,hod,118,LV,post,hard,False
C012,hood,132,LV,post,hoard,False
C012,hud,131,LV,post,hod,False
C012,whod,256,LV,post,whod,True
C013,had,212,LV,post,head,False
C013,hard,358,LV,post,hod,False
C013,head,196,LV,post,hid,False
C013,heard,304,LV,post,whod,False
C013,heed,278,LV,post,heed,True
C013,hid,142,LV,post,hid,True
C013,hoard,329,LV,post,hoard,True
C013,hod,185,LV,post,hoard,False
C013,hood,218,LV,post,hoard,False
C013,hud,183,LV,post,hoard,False
C013,whod,340,LV,post,hoard,False
C017,had,189,LV,post,had,True
C017,hard,377,LV,post,hud,False
C017,head,160,LV,post,hid,False
C017,heard,387,LV,post,head,False
C017,heed,302,LV,post,heed,True
C017,hid,166,LV,post,whod,False
C017,hoard,317,LV,post,hoard,True
C017,hod,136,LV,post,hard,False
C017,hood,156,LV,post,hoard,False
C017,hud,165,LV,post,head,False
C017,whod,308,LV,post,whod,True
C020,had,208,LV,post,had,True
C020,hard,302,LV,post,hud,False
C020,head,131,LV,post,heard,False
C020,heard,226,LV,post,head,False
C020,heed,263,LV,post,heed,True
C020,hid,110,LV,post,hid,True
C020,hoard,335,LV,post,hoard,True
C020,hod,175,LV,post,hod,True
C020,hood,107,LV,post,hoard,False
C020,hud,163,LV,post,head,False
C020,whod,288,LV,post,whod,True
C010,had,116,HV,pre,hard,False
C010,hard,207,HV,pre,heard,False
C010,head,118,HV,pre,head,True
C010,heard,181,HV,pre,heard,True
C010,heed,209,HV,pre,heed,True
C010,hid,106,HV,pre,hid,True
C010,hoard,183,HV,pre,hod,False
C010,hod,119,HV,pre,heard,False
C010,hood,101,HV,pre,hoard,False
C010,hud,114,HV,pre,head,False
C010,whod,182,HV,pre,whod,True
C011,had,147,HV,pre,had,True
C011,hard,238,HV,pre,had,False
C011,head,108,HV,pre,head,True
C011,heard,219,HV,pre,hard,False
C011,heed,182,HV,pre,heed,True
C011,hid,98,HV,pre,hid,True
C011,hoard,207,HV,pre,hod,False
C011,hod,98,HV,pre,hard,False
C011,hood,106,HV,pre,head,False
C011,hud,76,HV,pre,hud,True
C011,whod,226,HV,pre,hoard,False
C012,had,176,HV,pre,had,True
C012,hard,223,HV,pre,hud,False
C012,head,149,HV,pre,head,True
C012,heard,187,HV,pre,heard,True
C012,heed,195,HV,pre,heed,True
C012,hid,161,HV,pre,hid,True
C012,hoard,222,HV,pre,hoard,True
C012,hod,175,HV,pre,hud,False
C012,hood,165,HV,pre,heard,False
C012,hud,143,HV,pre,head,False
C012,whod,284,HV,pre,whod,True
C013,had,156,HV,pre,head,False
C013,hard,190,HV,pre,had,False
C013,head,183,HV,pre,hoard,False
C013,heard,203,HV,pre,head,False
C013,heed,198,HV,pre,heed,True
C013,hid,70,HV,pre,whod,False
C013,hoard,205,HV,pre,heard,False
C013,hod,142,HV,pre,head,False
C013,hood,89,HV,pre,hood,True
C013,hud,127,HV,pre,head,False
C013,whod,168,HV,pre,hoard,False
C014,had,253,HV,pre,hard,False
C014,hard,230,HV,pre,heard,False
C014,head,63,HV,pre,hoard,False
C014,heard,136,HV,pre,hard,False
C014,heed,318,HV,pre,heed,True
C014,hid,316,HV,pre,heed,False
C014,hoard,214,HV,pre,hoard,True
C014,hod,205,HV,pre,hood,False
C014,hood,168,HV,pre,hoard,False
C014,hud,135,HV,pre,hoard,False
C014,whod,235,HV,pre,hoard,False
C015,had,202,HV,pre,had,True
C015,hard,241,HV,pre,hard,True
C015,head,150,HV,pre,hud,False
C015,heard,268,HV,pre,head,False
C015,heed,248,HV,pre,hid,False
C015,hid,174,HV,pre,heard,False
C015,hoard,238,HV,pre,hod,False
C015,hod,202,HV,pre,hod,True
C015,hood,238,HV,pre,head,False
C015,hud,185,HV,pre,head,False
C015,whod,271,HV,pre,whod,True
C017,had,278,HV,pre,had,True
C017,hard,249,HV,pre,had,False
C017,head,126,HV,pre,head,True
C017,heard,205,HV,pre,had,False
C017,heed,212,HV,pre,hid,False
C017,hid,282,HV,pre,head,False
C017,hoard,176,HV,pre,hoard,True
C017,hod,153,HV,pre,hoard,False
C017,hood,183,HV,pre,hoard,False
C017,hud,136,HV,pre,hard,False
C017,whod,131,HV,pre,hid,False
C018,had,180,HV,pre,head,False
C018,hard,197,HV,pre,hud,False
C018,head,224,HV,pre,head,True
C018,heard,200,HV,pre,head,False
C018,heed,236,HV,pre,heed,True
C018,hid,186,HV,pre,heed,False
C018,hoard,226,HV,pre,hod,False
C018,hod,119,HV,pre,hod,True
C018,hood,164,HV,pre,hoard,False
C018,hud,162,HV,pre,head,False
C018,whod,166,HV,pre,whod,True
C019,had,147,HV,pre,had,True
C019,hard,232,HV,pre,hud,False
C019,head,119,HV,pre,hid,False
C019,heard,207,HV,pre,head,False
C019,heed,269,HV,pre,heed,True
C019,hid,124,HV,pre,hid,True
C019,hoard,257,HV,pre,hoard,True
C019,hod,184,HV,pre,hoard,False
C019,hood,72,HV,pre,hoard,False
C019,hud,129,HV,pre,hud,True
C019,whod,253,HV,pre,hid,False
C01,had,151,HV,pre,had,True
C01,hard,202,HV,pre,hod,False
C01,head,189,HV,pre,head,True
C01,heard,161,HV,pre,head,False
C01,heed,240,HV,pre,hoard,False
C01,hid,137,HV,pre,hid,True
C01,hoard,190,HV,pre,hard,False
C01,hod,62,HV,pre,hod,True
C01,hood,134,HV,pre,hod,False
C01,hud,123,HV,pre,hard,False
C01,whod,189,HV,pre,hid,False
C020,had,147,HV,pre,had,True
C020,hard,113,HV,pre,hard,True
C020,head,144,HV,pre,hid,False
C020,heard,227,HV,pre,had,False
C020,heed,173,HV,pre,heed,True
C020,hid,156,HV,pre,hid,True
C020,hoard,273,HV,pre,hoard,True
C020,hod,249,HV,pre,hoard,False
C020,hood,93,HV,pre,hoard,False
C020,hud,192,HV,pre,hoard,False
C020,whod,203,HV,pre,whod,True
C021,had,145,HV,pre,had,True
C021,hard,219,HV,pre,head,False
C021,head,75,HV,pre,hid,False
C021,heard,198,HV,pre,whod,False
C021,heed,167,HV,pre,whod,False
C021,hid,109,HV,pre,head,False
C021,hoard,261,HV,pre,hoard,True
C021,hod,118,HV,pre,hard,False
C021,hood,161,HV,pre,hud,False
C021,hud,92,HV,pre,head,False
C021,whod,169,HV,pre,whod,True
C023,had,273,HV,pre,had,True
C023,hard,349,HV,pre,head,False
C023,head,196,HV,pre,head,True
C023,heard,246,HV,pre,head,False
C023,heed,349,HV,pre,heed,True
C023,hid,104,HV,pre,hid,True
C023,hoard,271,HV,pre,hard,False
C023,hod,238,HV,pre,hard,False
C023,hood,126,HV,pre,hud,False
C023,hud,149,HV,pre,head,False
C023,whod,179,HV,pre,hoard,False
C024,had,191,HV,pre,head,False
C024,hard,313,HV,pre,heard,False
C024,head,164,HV,pre,hid,False
C024,heard,259,HV,pre,had,False
C024,heed,250,HV,pre,heed,True
C024,hid,119,HV,pre,hid,True
C024,hoard,295,HV,pre,hoard,True
C024,hod,133,HV,pre,hoard,False
C024,hood,106,HV,pre,heard,False
C024,hud,75,HV,pre,head,False
C024,whod,200,HV,pre,whod,True
C02,had,231,HV,pre,head,False
C02,hard,235,HV,pre,hod,False
C02,head,96,HV,pre,head,True
C02,heard,260,HV,pre,hoard,False
C02,heed,231,HV,pre,heed,True
C02,hid,87,HV,pre,hid,True
C02,hoard,250,HV,pre,hod,False
C02,hod,95,HV,pre,hud,False
C02,hood,90,HV,pre,whod,False
C02,hud,110,HV,pre,head,False
C02,whod,234,HV,pre,hoard,False
C03,had,148,HV,pre,had,True
C03,hard,271,HV,pre,hard,True
C03,head,151,HV,pre,head,True
C03,heard,208,HV,pre,head,False
C03,heed,247,HV,pre,heed,True
C03,hid,142,HV,pre,head,False
C03,hoard,328,HV,pre,hoard,True
C03,hod,73,HV,pre,hard,False
C03,hood,100,HV,pre,head,False
C03,hud,109,HV,pre,hud,True
C03,whod,219,HV,pre,whod,True
C04,had,113,HV,pre,hud,False
C04,hard,185,HV,pre,had,False
C04,head,107,HV,pre,head,True
C04,heard,144,HV,pre,hard,False
C04,heed,298,HV,pre,heed,True
C04,hid,51,HV,pre,whod,False
C04,hoard,243,HV,pre,hod,False
C04,hod,126,HV,pre,hod,True
C04,hood,129,HV,pre,heard,False
C04,hud,93,HV,pre,head,False
C04,whod,204,HV,pre,hoard,False
C05,had,152,HV,pre,head,False
C05,hard,203,HV,pre,heard,False
C05,head,180,HV,pre,head,True
C05,heard,256,HV,pre,head,False
C05,heed,321,HV,pre,heed,True
C05,hid,167,HV,pre,hid,True
C05,hoard,273,HV,pre,hoard,True
C05,hod,139,HV,pre,hod,True
C05,hood,173,HV,pre,whod,False
C05,hud,176,HV,pre,head,False
C05,whod,274,HV,pre,whod,True
C06,had,182,HV,pre,had,True
C06,hard,213,HV,pre,hard,True
C06,head,111,HV,pre,hid,False
C06,heard,199,HV,pre,head,False
C06,heed,223,HV,pre,heed,True
C06,hid,81,HV,pre,heed,False
C06,hoard,251,HV,pre,hoard,True
C06,hod,80,HV,pre,hoard,False
C06,hood,161,HV,pre,whod,False
C06,hud,127,HV,pre,head,False
C06,whod,243,HV,pre,hoard,False
C07,had,163,HV,pre,had,True
C07,hard,197,HV,pre,hud,False
C07,head,187,HV,pre,head,True
C07,heard,200,HV,pre,head,False
C07,heed,158,HV,pre,heed,True
C07,hid,105,HV,pre,whod,False
C07,hoard,258,HV,pre,hod,False
C07,hod,187,HV,pre,hard,False
C07,hood,96,HV,pre,heard,False
C07,hud,123,HV,pre,hod,False
C07,whod,211,HV,pre,whod,True
C08,had,156,HV,pre,head,False
C08,hard,177,HV,pre,hud,False
C08,head,155,HV,pre,heard,False
C08,heard,234,HV,pre,hard,False
C08,heed,187,HV,pre,heed,True
C08,hid,113,HV,pre,hoard,False
C08,hoard,181,HV,pre,hod,False
C08,hod,147,HV,pre,hoard,False
C08,hood,130,HV,pre,hod,False
C08,hud,153,HV,pre,had,False
C08,whod,161,HV,pre,hoard,False
C09,had,201,HV,pre,head,False
C09,hard,271,HV,pre,hod,False
C09,head,155,HV,pre,hid,False
C09,heard,321,HV,pre,head,False
C09,heed,362,HV,pre,heed,True
C09,hid,100,HV,pre,hid,True
C09,hoard,285,HV,pre,hoard,True
C09,hod,157,HV,pre,hoard,False
C09,hood,132,HV,pre,hid,False
C09,hud,125,HV,pre,head,False
C09,whod,297,HV,pre,whod,True
C010,had,180,LV,pre,head,False
C010,hard,243,LV,pre,hud,False
C010,head,134,LV,pre,hoard,False
C010,heard,247,LV,pre,head,False
C010,heed,324,LV,pre,heed,True
C010,hid,139,LV,pre,hid,True
C010,hoard,268,LV,pre,hoard,True
C010,hod,254,LV,pre,hood,False
C010,hood,146,LV,pre,hood,True
C010,hud,141,LV,pre,head,False
C010,whod,160,LV,pre,whod,True
C011,had,237,LV,pre,head,False
C011,hard,274,LV,pre,head,False
C011,head,226,LV,pre,hoard,False
C011,heard,287,LV,pre,heard,True
C011,heed,308,LV,pre,heed,True
C011,hid,147,LV,pre,hid,True
C011,hoard,370,LV,pre,hod,False
C011,hod,219,LV,pre,hod,True
