group,test,speaker,vowel,f1,f2
LV,pre,C01-LV,had,1.31943724728299,0.345719757507269
LV,pre,C01-LV,hard,1.2930963947964,-0.780811411849443
LV,pre,C01-LV,head,0.535796885806841,0.77429139802341
LV,pre,C01-LV,heard,-0.517837213656891,-0.334747051312236
LV,pre,C01-LV,heed,-1.71634600179689,2.23843206378671
LV,pre,C01-LV,hid,-0.149065278844585,0.947469326231973
LV,pre,C01-LV,hoard,-0.155650491966233,-0.891015547982165
LV,pre,C01-LV,hod,0.173610164116183,-0.819295395895791
LV,pre,C01-LV,hood,-0.12930963947964,-0.429207739425997
LV,pre,C01-LV,hud,0.851887115645961,-0.051364986970951
LV,pre,C01-LV,whod,-1.50561918190414,-0.999470412112781
LV,pre,C010-LV,had,1.31041951115196,0.0767213080120784
LV,pre,C010-LV,hard,1.31572485330238,-0.805272866252268
LV,pre,C010-LV,head,-0.366068608378484,-1.2785380329307
LV,pre,C010-LV,heard,0.742747901057793,0.0618283482214984
LV,pre,C010-LV,heed,-1.14595390448917,2.20145023813482
LV,pre,C010-LV,hid,-0.854160086216462,1.4203972357844
LV,pre,C010-LV,hoard,-0.100801500857843,-0.750665347020141
LV,pre,C010-LV,hod,-0.100801500857843,-0.207899701319005
LV,pre,C010-LV,hood,-0.541144899342106,-0.0837917030641722
LV,pre,C010-LV,hud,1.18839664169247,-0.197971061458619
LV,pre,C010-LV,whod,-1.4483584070627,-0.436258418107898
LV,pre,C011-LV,had,1.41150170204955,0.274158218834645
LV,pre,C011-LV,hard,1.40341075951565,-0.481486486366061
LV,pre,C011-LV,head,-0.582915632555637,-0.736217393775348
LV,pre,C011-LV,heard,0.250451448435576,-0.568676260043065
LV,pre,C011-LV,heed,-0.845871264907234,2.05043615707793
LV,pre,C011-LV,hid,-0.821598437305548,1.06741419895484
LV,pre,C011-LV,hoard,0.104814482825461,-1.40638192870448
LV,pre,C011-LV,hod,0.327315402507582,-0.861018442371845
LV,pre,C011-LV,hood,-0.971280874182611,0.37331521634967
LV,pre,C011-LV,hud,1.11618229956237,-0.396006316094488
LV,pre,C011-LV,whod,-1.39200988594517,0.684463036138195
LV,pre,C012-LV,had,0.675570962839651,0.603691797752735
LV,pre,C012-LV,hard,1.0192139959604,-0.462386487249338
LV,pre,C012-LV,head,-0.455587354516142,1.6225696701364
LV,pre,C012-LV,heard,0.611137894129511,0.493014968164734
LV,pre,C012-LV,heed,-1.23594340889451,-0.123845596744862
LV,pre,C012-LV,hid,-0.333880446952544,1.48096843228116
LV,pre,C012-LV,hoard,0.682730192696333,-1.22247589044929
LV,pre,C012-LV,hod,-0.455587354516142,-1.32664231829682
LV,pre,C012-LV,hood,-0.0976258616820304,-0.41193087376069
LV,pre,C012-LV,hud,1.45592701721801,0.26515090724826
LV,pre,C012-LV,whod,-1.86595563628254,-0.918114609082285
LV,pre,C013-LV,had,1.42782836750109,0.612212834618502
LV,pre,C013-LV,hard,1.41537966575009,-0.0865735960374791
LV,pre,C013-LV,head,-0.356485550142279,0.84443149602552
LV,pre,C013-LV,heard,1.52326841425876,0.377863726776557
LV,pre,C013-LV,heed,-1.27353991246596,1.70726230217086
