participant,vowel,group,test,duration,f1,f2
C019,hayed,LV,pre,174,539,2839
C019,head,LV,pre,132,829,2472
C019,hear,LV,pre,193,632,2423
C019,heard,LV,pre,250,848,2070
C019,heed,LV,pre,151,555,2615
C019,hid,LV,pre,103,586,2678
C019,hide,LV,pre,171,1021,1455
C019,hoard,LV,pre,186,752,1130
C019,hod,LV,pre,118,830,1411
C019,hoed,LV,pre,237,586,2458
C019,hood,LV,pre,134,702,2211
C019,howd,LV,pre,253,987,1574
C019,hoyd,LV,pre,208,707,1204
C019,hud,LV,pre,99,912,1593
C019,whod,LV,pre,192,514,2859
C020,had,LV,pre,109,934,1238
C020,haired,LV,pre,230,851,2440
C020,hard,LV,pre,139,819,1636
C020,hayed,LV,pre,149,502,2929
C020,head,LV,pre,125,778,2501
C020,hear,LV,pre,261,615,2456
C020,heard,LV,pre,245,783,1863
C020,heed,LV,pre,207,468,3209
C020,hid,LV,pre,83,661,2671
C020,hide,LV,pre,191,914,1912
C020,hoard,LV,pre,240,773,1500
C020,hod,LV,pre,135,862,1532
C020,hoed,LV,pre,257,504,2081
C020,hood,LV,pre,117,758,1783
C020,howd,LV,pre,180,1170,2078
C020,hoyd,LV,pre,222,820,1576
C020,hud,LV,pre,107,889,1744
C020,whod,LV,pre,244,517,2326
C021,had,LV,pre,233,1059,1391
C021,haired,LV,pre,194,1018,1600
C021,heard,LV,pre,175,1047,1664
C021,hard,LV,pre,254,988,1422
C021,hayed,LV,pre,179,663,2749
C021,head,LV,pre,115,841,2487
C021,hear,LV,pre,384,785,1676
C021,heed,LV,pre,294,537,2430
C021,hid,LV,pre,90,739,2578
C021,hide,LV,pre,240,1149,1859
C021,hoard,LV,pre,81,545,1075
C021,hod,LV,pre,147,795,1321
C021,hoed,LV,pre,181,763,2475
C021,hood,LV,pre,116,981,2154
C021,howd,LV,pre,215,1039,1456
C021,hoyd,LV,pre,183,842,1477
C021,hud,LV,pre,87,1220,1728
C021,whod,LV,pre,138,598,1038
C022,had,LV,pre,186,1009,2034
C022,haired,LV,pre,185,986,1926
C022,hard,LV,pre,193,976,1709
C022,hayed,LV,pre,123,647,2599
C022,head,LV,pre,190,931,2223
C022,hear,LV,pre,309,433,3146
C022,heard,LV,pre,188,853,2044
C022,heed,LV,pre,144,450,3321
C022,hid,LV,pre,161,436,3384
C022,hide,LV,pre,245,933,1784
C022,hoard,LV,pre,240,695,1306
C022,hod,LV,pre,131,822,1438
